idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
77,-2.49073e-05,3.12252,-0.771785,0.753609,0.5,-7.06285e-05
78,-2.47256e-05,3.17252,-0.787124,0.768,0.5,-6.6133e-05
79,-2.45116e-05,3.22252,-0.802223,0.782109,0.5,-6.47968e-05
80,-2.42511e-05,3.27252,-0.817074,0.795937,0.5,-6.29489e-05
81,-2.39382e-05,3.32252,-0.900842,0.839963,0.5,-6.0542e-05
82,-2.35622e-05,3.37252,-0.916373,0.853058,0.5,-5.41789e-05
83,-2.31132e-05,3.42252,-0.931643,0.865871,0.5,-5.0324e-05
84,-2.25699e-05,3.47252,-0.946646,0.878405,0.5,-4.56071e-05
85,-2.19168e-05,3.52252,-1.04033,0.919794,0.5,-3.99537e-05
86,-2.11315e-05,3.57252,-1.05608,0.931558,0.5,-2.91788e-05
87,-2.01904e-05,3.62252,-1.07155,0.943053,0.5,-2.04317e-05
88,-1.90566e-05,3.67252,-1.08673,0.954284,0.5,-9.48363e-06
89,-1.76974e-05,3.72252,-1.1915,0.992697,0.5,3.58816e-06
90,-1.608e-05,3.77252,-1.20751,1.00317,0.5,2.19818e-05
91,-1.41499e-05,3.82252,-1.22324,1.01339,0.5,4.05598e-05
92,-1.20298e-05,3.87252,-1.23867,1.02338,0.5,5.8512e-05
93,-9.8454e-06,3.92252,-1.35596,1.0587,0.5,7.12838e-05
94,-7.67704e-06,3.97252,-1.37239,1.06797,0.5,8.01921e-05
95,-5.57056e-06,4.02252,-1.38851,1.07703,0.5,8.42805e-05
96,-3.54672e-06,4.07252,-1.40433,1.08588,0.5,8.64347e-05
97,-1.61058e-06,4.12252,-1.53584,1.11813,0.5,8.80642e-05
98,2.28649e-07,4.17252,-1.55278,1.12632,0.5,8.98117e-05
99,1.95252e-06,4.22252,-1.56941,1.13432,0.5,9.0042e-05
100,3.54228e-06,4.27252,-1.58571,1.14213,0.5,8.90004e-05
101,4.98928e-06,4.32252,-1.73345,1.17143,0.5,8.70422e-05
102,6.29588e-06,4.37252,-1.75107,1.17865,0.5,8.38039e-05
103,7.47836e-06,4.42252,-1.76836,1.1857,0.5,8.1188e-05
104,8.56408e-06,4.47252,-1.78529,1.19259,0.5,7.95578e-05
105,9.58331e-06,4.52252,-1.95162,1.2191,0.5,7.89877e-05
106,1.0565e-05,4.57252,-1.9701,1.22546,0.5,7.87623e-05
107,1.15342e-05,4.62252,-1.98822,1.23167,0.5,8.08093e-05
108,1.2507e-05,4.67252,-2.00598,1.23775,0.5,8.41636e-05
109,1.34805e-05,4.72252,-2.1938,1.26168,0.5,8.76124e-05
110,1.44363e-05,4.77252,-2.21345,1.2673,0.5,8.87098e-05
111,1.5351e-05,4.82252,-2.23276,1.27279,0.5,9.03978e-05
112,1.62031e-05,4.87252,-2.25172,1.27816,0.5,9.11999e-05
113,1.69664e-05,4.92252,-2.46466,1.29974,0.5,9.06263e-05
114,1.76255e-05,4.97252,-2.48592,1.30471,0.5,8.6261e-05
115,1.81865e-05,5.02252,-2.50682,1.30958,0.5,8.35961e-05
116,1.86741e-05,5.07252,-2.52735,1.31434,0.5,8.19593e-05
117,1.91073e-05,5.12252,-2.76972,1.33376,0.5,8.09967e-05
118,1.95076e-05,5.17252,-2.793,1.33816,0.5,7.81114e-05
119,1.98975e-05,5.22252,-2.81591,1.34247,0.5,7.87455e-05
120,2.03022e-05,5.27252,-2.83845,1.34669,0.5,8.10801e-05
121,2.07255e-05,5.32252,-3.11566,1.36415,0.5,8.39295e-05
122,2.11684e-05,5.37252,-3.14166,1.36806,0.5,8.35738e-05
123,2.16118e-05,5.42252,-3.16735,1.3719,0.5,8.58703e-05
124,2.20495e-05,5.47252,-3.19274,1.37566,0.5,8.82194e-05
125,2.24502e-05,5.52252,-3.51184,1.39134,0.5,8.91287e-05
126,2.27867e-05,5.57252,-3.54167,1.39484,0.5,8.53507e-05
127,2.3051e-05,5.62252,-3.57122,1.39826,0.5,8.38058e-05
128,2.32588e-05,5.67252,-3.60049,1.40163,0.5,8.22951e-05
129,2.34143e-05,5.72252,-3.97028,1.41569,0.5,8.12826e-05
130,2.35315e-05,5.77252,-4.00507,1.41881,0.5,7.70599e-05
131,2.36316e-05,5.82252,-4.0396,1.42187,0.5,7.65728e-05
132,2.37486e-05,5.87252,-4.0739,1.42488,0.5,7.79593e-05
133,2.38888e-05,5.92252,-4.50561,1.43746,0.5,8.02699e-05
134,2.4054e-05,5.97252,-4.54706,1.44025,0.5,7.91083e-05
135,2.42459e-05,6.02252,-4.58845,1.44299,0.5,8.15227e-05
136,2.44598e-05,6.07252,-4.62988,1.44569,0.5,8.44738e-05
137,2.46709e-05,6.12252,-5.13892,1.45692,0.5,8.60546e-05
138,2.48449e-05,6.17252,-5.19002,1.45943,0.5,8.31291e-05
139,2.49703e-05,6.22252,-5.24135,1.4619,0.5,8.24376e-05
140,2.50538e-05,6.27252,-5.29296,1.46433,0.5,8.16318e-05
141,2.50903e-05,6.32252,-5.89992,1.47434,0.5,8.05181e-05
142,2.50874e-05,6.37252,-5.96422,1.47659,0.5,7.57412e-05
143,2.50688e-05,6.42252,-6.02899,1.47881,0.5,7.53732e-05
144,2.50505e-05,6.47252,-6.09442,1.48099,0.5,7.58219e-05
145,2.50274e-05,6.52252,-6.82703,1.48986,0.5,7.65037e-05
146,2.5e-05,6.57252,-6.90991,1.49188,0.5,7.34456e-05
147,2.49699e-05,6.62252,-6.99412,1.49388,0.5,7.4055e-05
148,2.49309e-05,6.67252,-7.07974,1.49584,0.5,7.44653e-05
149,2.48848e-05,6.72252,-7.97801,1.50366,0.5,7.50797e-05
150,2.48294e-05,6.77252,-8.08821,1.50548,0.5,7.17556e-05
151,2.47671e-05,6.82252,-8.20092,1.50727,0.5,7.20647e-05
152,2.46882e-05,6.87252,-8.31632,1.50903,0.5,7.21597e-05
153,2.45933e-05,6.92252,-9.43838,1.51589,0.5,7.22213e-05
154,2.44789e-05,6.97252,-9.58949,1.51752,0.5,6.8357e-05
155,2.43451e-05,7.02252,-9.74523,1.51913,0.5,6.76341e-05
156,2.41798e-05,7.07252,-9.90593,1.52071,0.5,6.68651e-05
157,2.39801e-05,7.12252,-11.34,1.52666,0.5,6.58003e-05
158,2.37398e-05,7.17252,-11.5546,1.52812,0.5,6.06257e-05
159,2.34546e-05,7.22252,-11.7778,1.52956,0.5,5.84465e-05
160,2.31087e-05,7.27252,-12.0104,1.53097,0.5,5.59229e-05
161,2.2693e-05,7.32252,-13.8969,1.53609,0.5,5.23684e-05
162,2.21935e-05,7.37252,-14.2152,1.53739,0.5,4.47713e-05
163,2.15969e-05,7.42252,-14.55,1.53867,0.5,3.94451e-05
164,2.08782e-05,7.47252,-14.9032,1.53993,0.5,3.27509e-05
165,2.00156e-05,7.52252,-17.4816,1.54427,0.5,2.50217e-05
166,1.89795e-05,7.57252,-17.9817,1.54543,0.5,1.21235e-05
167,1.77379e-05,7.62252,-18.5158,1.54656,0.5,2.121e-08
168,1.62571e-05,7.67252,-19.0891,1.54768,0.5,-1.42433e-05
169,1.44809e-05,7.72252,-22.8052,1.5513,0.5,-3.12218e-05
170,1.24147e-05,7.77252,-23.6312,1.5523,0.5,-5.35003e-05
171,1.02588e-05,7.82252,-24.4947,1.55326,0.5,-6.87036e-05
172,8.14924e-06,7.87252,-25.4061,1.55419,0.5,-7.61023e-05
173,6.14255e-06,7.92252,-30.9664,1.55707,0.5,-7.82411e-05
174,4.25391e-06,7.97252,-32.3277,1.55789,0.5,-7.90239e-05
175,2.46879e-06,8.02252,-33.8171,1.55868,0.5,-7.9029e-05
176,7.57836e-07,8.07252,-35.4564,1.55946,0.5,-7.96948e-05
177,-9.07367e-07,8.12252,-44.5687,1.56172,0.5,-8.21588e-05
178,-2.53682e-06,8.17252,-47.1968,1.56239,0.5,-8.53171e-05
179,-4.11858e-06,8.22252,-50.1174,1.56303,0.5,-8.81654e-05
180,-5.62863e-06,8.27252,-53.3708,1.56365,0.5,-9.01462e-05
181,-7.03863e-06,8.32252,-69.9975,1.56532,0.5,-9.0552e-05
182,-8.32372e-06,8.37252,-75.5633,1.56583,0.5,-8.86578e-05
183,-9.47262e-06,8.42252,-81.9521,1.56631,0.5,-8.60509e-05
184,-1.0491e-05,8.47252,-89.3691,1.56677,0.5,-8.31287e-05
185,-1.13964e-05,8.52252,-125.279,1.56791,0.5,-8.05292e-05
186,-1.22164e-05,8.57252,-140.131,1.56828,0.5,-7.70108e-05
187,-1.2987e-05,8.62252,-158.422,1.56862,0.5,-7.67383e-05
188,-1.37467e-05,8.67252,-181.24,1.56894,0.5,-7.82818e-05
189,-1.45116e-05,8.72252,-287.898,1.56962,0.5,-8.0915e-05
190,-1.52856e-05,8.77252,-346.577,1.56984,0.5,-8.18844e-05
191,-1.60644e-05,8.82252,-426.732,1.57004,0.5,-8.51678e-05
192,-1.68381e-05,8.87252,-538.946,1.57021,0.5,-8.81142e-05
193,-1.75772e-05,8.92252,-1133.31,1.57052,0.5,-8.98538e-05
194,-1.82513e-05,8.97253,-1633.37,1.57061,0.5,-8.78747e-05
195,-1.88403e-05,9.02253,-2543.6,1.57068,0.5,-8.65415e-05
196,-1.93408e-05,9.07253,-4472.34,1.57073,0.5,-8.50136e-05
197,-1.97509e-05,9.12253,-2.82487e+07,1.5708,0.5,-8.26407e-05
198,-2.00818e-05,9.17253,6.62283e+07,-1.5708,0.5,-7.7505e-05
199,-2.03614e-05,9.22253,-147028,1.57079,0.5,-7.60563e-05
200,-2.06258e-05,9.27253,-140778,1.57079,0.5,-7.61783e-05
201,-2.08938e-05,9.32253,-125602,1.57079,0.5,0.746081
202,-0.000892885,9.37232,-19.0438,1.53573,0.5,1.12111
203,-0.00426979,9.42206,-6.05528,1.46857,0.5,1.3854
204,-0.0119122,9.47108,-2.77735,1.36449,0.5,1.39765
205,-0.0250168,9.51644,-1.534,1.2225,0.5,1.40264
206,-0.0463861,9.56447,-1.02021,1.08591,0.5,1.23618
207,-0.0720581,9.60663,-0.757179,0.961428,0.5,1.13491
208,-0.102872,9.64612,-0.601575,0.856937,0.5,0.971875
209,-0.136826,9.6817,-0.495748,0.763023,0.5,0.839944
210,-0.174103,9.71433,-0.417729,0.676755,0.5,0.771639
211,-0.213815,9.74369,-0.358623,0.598384,0.5,0.654997
212,-0.256317,9.77004,-0.309898,0.513305,0.5,0.546498
213,-0.300418,9.79317,-0.27469,0.45429,0.5,0.451409
214,-0.346046,9.81402,-0.245768,0.404034,0.5,0.367807
215,-0.392179,9.83265,-0.222003,0.365366,0.5,0.29916
216,-0.438978,9.84972,-0.201507,0.335309,0.5,0.284665
217,-0.486242,9.86541,-0.183162,0.307115,0.5,0.254756
218,-0.533837,9.87981,-0.166761,0.281612,0.5,0.226208
219,-0.581765,9.89306,-0.152005,0.258841,0.5,0.201281
220,-0.630103,9.90532,-0.138616,0.238883,0.5,0.202656
221,-0.678678,9.91661,-0.1264,0.218793,0.5,0.185079
222,-0.727473,9.92698,-0.115333,0.200429,0.5,0.164915
223,-0.776454,9.93649,-0.105284,0.184058,0.5,0.146844
224,-0.825588,9.94526,-0.0961193,0.169474,0.5,0.147492
225,-0.874846,9.9533,-0.0877467,0.154829,0.5,0.134092
226,-0.92422,9.96066,-0.0801397,0.141505,0.5,0.118866
227,-0.973692,9.9674,-0.0732134,0.129688,0.5,0.117109
228,-1.02324,9.97356,-0.0669037,0.118052,0.5,0.105105
229,-1.07286,9.97918,-0.0611769,0.107603,0.5,0.0921969
230,-1.12254,9.98431,-0.0559639,0.0984339,0.5,0.0809571
231,-1.17227,9.98901,-0.0511984,0.0903807,0.5,0.0800591
232,-1.22204,9.99332,-0.0468428,0.0824224,0.5,0.0721314
233,-1.27184,9.99725,-0.0450099,0.077502,0.5,0.0635202
234,-1.32168,10.0008,-0.0509349,0.0811541,0.5,0.0559841
235,-1.37154,10.0041,-0.0541591,0.0825879,0.5,0.0556287
236,-1.42141,10.0072,-0.0585786,0.0851473,0.5,0.050254
237,-1.47131,10.0099,-0.06401,0.0891668,0.5,0.0443419
238,-1.52122,10.0125,-0.0824348,0.106645,0.5,0.0391448
239,-1.57114,10.0148,-0.0903796,0.114184,0.5,0.0389699
240,-1.62107,10.0169,-0.0988851,0.122306,0.5,0.0352418
241,-1.67102,10.0188,-0.107869,0.131289,0.5,0.0311202
242,-1.72097,10.0206,-0.134616,0.157739,0.5,0.0274907
243,-1.77092,10.0222,-0.145158,0.169039,0.5,0.0273871
244,-1.82089,10.0237,-0.155975,0.180685,0.5,0.0247778
245,-1.87085,10.0251,-0.167013,0.192867,0.5,0.0218877
246,-1.92083,10.0264,-0.200633,0.226111,0.5,0.0193409
247,-1.9708,10.0275,-0.212776,0.2399,0.5,0.0192727
248,-2.02078,10.0286,-0.225041,0.253889,0.5,0.0174401
249,-2.07076,10.0295,-0.237376,0.268192,0.5,0.0154087
250,-2.12074,10.0304,-0.277393,0.306785,0.5,0.0136182
251,-2.17073,10.0312,-0.290592,0.322163,0.5,0.0135707
252,-2.22072,10.032,-0.303817,0.337623,0.5,0.0122817
253,-2.2707,10.0326,-0.317015,0.353223,0.5,0.0108528
254,-2.32069,10.0333,-0.363409,0.395858,0.5,0.00959329
255,-2.37069,10.0338,-0.377337,0.412075,0.5,0.00955973
256,-2.42068,10.0343,-0.391224,0.428271,0.5,0.00865306
257,-2.47067,10.0348,-0.405017,0.444464,0.5,0.00764808
258,-2.52066,10.0353,-0.45803,0.489788,0.5,0.00676223
259,-2.57066,10.0357,-0.472481,0.506189,0.5,0.00673838
260,-2.62065,10.036,-0.486843,0.52248,0.5,0.00610048
261,-2.67065,10.0364,-0.50106,0.538655,0.5,0.00539337
262,-2.72065,10.0367,-0.561116,0.585281,0.5,0.00476996
263,-2.77064,10.0369,-0.575961,0.601313,0.5,0.00475247
264,-2.82064,10.0372,-0.590679,0.617162,0.5,0.00430337
265,-2.87064,10.0374,-0.605212,0.632814,0.5,0.00380574
266,-2.92063,10.0377,-0.672886,0.679422,0.5,0.0033671
267,-2.97063,10.0379,-0.688048,0.694653,0.5,0.0033544
268,-3.02063,10.038,-0.70305,0.709653,0.5,0.0030386
269,-3.07063,10.0382,-0.717836,0.724405,0.5,0.00268884
270,-3.12063,10.0384,-0.793847,0.769855,0.5,0.00238061
