idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
70,1.6674e-05,2.63546,1.6674e-05,4.90757e-07,0.499898,7.03459e-05
71,1.67074e-05,2.68544,1.67074e-05,6.09807e-07,0.499881,6.80889e-05
72,1.67346e-05,2.73543,1.67346e-05,7.0664e-07,0.499932,7.06594e-05
73,1.67742e-05,2.78542,1.67742e-05,8.47833e-07,0.49991,6.9805e-05
74,1.68166e-05,2.83541,1.68166e-05,9.99391e-07,0.499947,7.16331e-05
75,1.68712e-05,2.8854,1.68712e-05,1.1952e-06,0.499934,7.17624e-05
76,1.69342e-05,2.9354,1.69342e-05,1.42149e-06,0.499965,7.34165e-05
77,1.70118e-05,2.98539,1.70118e-05,1.69995e-06,0.499947,7.43265e-05
78,1.71029e-05,3.03539,1.71029e-05,1.98521e-06,0.499976,7.61935e-05
79,1.72105e-05,3.08538,1.72105e-05,2.01967e-06,0.499962,7.75633e-05
80,1.73085e-05,3.13538,1.73085e-05,1.72808e-06,0.499983,7.76067e-05
81,1.73817e-05,3.18538,1.73817e-05,1.2816e-06,0.49997,7.61853e-05
82,1.7433e-05,3.23538,1.7433e-05,9.4192e-07,0.49999,7.44843e-05
83,1.74707e-05,3.28537,1.74707e-05,9.45011e-07,0.499977,7.35804e-05
84,1.75247e-05,3.33537,1.75247e-05,1.1299e-06,0.499993,7.44587e-05
85,1.75858e-05,3.38537,1.75858e-05,1.3483e-06,0.499983,7.5535e-05
86,1.76571e-05,3.43537,1.76571e-05,1.60327e-06,0.499996,7.67588e-05
87,1.77424e-05,3.48537,1.77424e-05,1.90881e-06,0.499987,7.82123e-05
88,1.78435e-05,3.53537,1.78435e-05,2.26267e-06,0.499999,7.99587e-05
89,1.79674e-05,3.58537,1.79674e-05,2.55424e-06,0.499991,8.19574e-05
90,1.81002e-05,3.63537,1.81002e-05,2.41819e-06,0.5,8.34989e-05
91,1.82159e-05,3.68537,1.82159e-05,1.82732e-06,0.499993,8.24001e-05
92,1.82875e-05,3.73537,1.82875e-05,8.89903e-07,0.500001,7.97534e-05
93,1.83066e-05,3.78537,1.83066e-05,-3.77649e-08,0.499994,7.54114e-05
94,1.82798e-05,3.83537,1.82798e-05,-6.69963e-07,0.500001,7.19201e-05
95,1.8239e-05,3.88537,1.8239e-05,-8.26748e-07,0.499996,6.96323e-05
96,1.81964e-05,3.93537,1.81964e-05,-9.86358e-07,0.500002,6.97881e-05
97,1.81439e-05,3.98536,1.81439e-05,-1.18313e-06,0.499997,6.8276e-05
98,1.8078e-05,4.03537,1.8078e-05,-1.42977e-06,0.500002,6.7552e-05
99,1.80002e-05,4.08537,1.80002e-05,-1.72066e-06,0.499998,6.58603e-05
100,1.79061e-05,4.13537,1.79061e-05,-2.07189e-06,0.500002,6.44247e-05
101,1.77944e-05,4.18537,1.77944e-05,-2.48864e-06,0.499999,6.2285e-05
102,1.76603e-05,4.23537,1.76603e-05,-2.9887e-06,0.500003,6.00369e-05
103,1.74999e-05,4.28537,1.74999e-05,-3.58587e-06,0.499999,5.71262e-05
104,1.73065e-05,4.33537,1.73065e-05,-4.30353e-06,0.500002,5.37986e-05
105,1.70744e-05,4.38537,1.70744e-05,-5.16538e-06,0.5,4.96826e-05
106,1.67953e-05,4.43537,1.67953e-05,-6.20223e-06,0.500002,4.48199e-05
107,1.64597e-05,4.48537,1.64597e-05,-7.44907e-06,0.5,3.89115e-05
108,1.60562e-05,4.53537,1.60562e-05,-8.9486e-06,0.500002,3.18472e-05
109,1.55711e-05,4.58537,1.55711e-05,-1.07423e-05,0.5,2.33242e-05
110,1.49892e-05,4.63537,1.49892e-05,-1.28878e-05,0.500002,1.31614e-05
111,1.42912e-05,4.68537,1.42912e-05,-1.54519e-05,0.500001,9.73264e-07
112,1.34548e-05,4.73537,1.34548e-05,-1.85196e-05,0.500002,-1.35812e-05
113,1.24526e-05,4.78537,1.24526e-05,-2.21117e-05,0.500001,-3.10219e-05
114,1.12621e-05,4.83537,1.12621e-05,-2.6377e-05,0.500002,-5.133e-05
115,9.84054e-06,4.88537,9.84054e-06,-3.0737e-05,0.500001,-7.57163e-05
116,8.21893e-06,4.93537,8.21893e-06,-3.32957e-05,0.500002,-9.95842e-05
117,6.54092e-06,4.98537,6.54092e-06,-3.31158e-05,0.500001,-0.000112466
