idx,car_position_x,car_position_y,etheta,cmd_vel.linear.x,cmd_vel.angular.z
1,1.83275e-07,-4.45341e-05,-0.00174387,0.0642032,0,0
2,1.82903e-07,-4.45683e-05,-0.00174387,0.0642032,0.2,0.100264
3,1.82903e-07,-4.45683e-05,-0.00174387,0.0642032,0.4,0.100264
4,1.69016e-05,-0.0299473,0.000161954,0.0629546,0.6,0.100264
5,3.17414e-05,-0.0600491,0.00204069,0.0616355,0.8,0.102969
6,3.17414e-05,-0.0600491,0.00204069,0.0616355,1,0.105624
7,6.86942e-05,-0.150554,0.00744852,0.0576698,1.2,0.105624
8,6.86942e-05,-0.150554,0.00744852,0.0576698,1.4,0.114215
9,8.92404e-05,-0.210957,0.0108583,0.0550657,1.5,0.114215
10,0.000127006,-0.362061,0.00475392,0.0512906,1.5,0.120671
11,0.000127006,-0.362061,0.00475392,0.0512906,1.5,0.11757
12,0.000140255,-0.452761,0.00929029,0.0485829,1.5,0.11757
13,0.000146112,-0.553562,0.0321459,0.0317498,1.5,0.127071
14,0.000122348,-0.785463,0.0387654,0.025301,1.5,0.148294
15,0.000122348,-0.785463,0.0531934,0.0284796,1.5,0.191283
16,2.61324e-05,-1.05776,0.0607698,0.021436,1.5,0.122038
17,0.000474089,-1.20662,0.0684342,0.00856973,1.5,0.151046
18,0.00259389,-1.35648,0.0684537,-0.0100692,1.5,0.163016
19,0.00259389,-1.35648,0.0729961,-0.0115944,1.5,0.151623
20,0.0069924,-1.50628,0.0423563,0.0208806,1.5,0.144569
21,0.01371,-1.65601,0.0502017,0.00534331,1.5,0.048005
22,0.0226104,-1.80562,0.049328,-0.0187159,1.5,0.0582302
23,0.0326366,-1.95438,0.0417546,-0.032255,1.5,0.030241
24,0.0541619,-2.25353,0.0271607,-0.0595712,1.5,-0.07666
25,0.0541619,-2.25353,0.0271607,-0.0595712,1.5,-0.137908
26,0.0736378,-2.55218,0.0096744,-0.0413723,1.5,-0.137908
27,0.0736378,-2.55218,0.0076072,-0.0383963,1.5,-0.132065
28,0.0805049,-2.70213,0.00338399,-0.0362617,1.5,-0.122565
29,0.0853922,-2.85216,0.00148996,-0.0308036,1.5,-0.106737
30,0.0897249,-3.15231,0.0231438,0.0405564,1.5,-0.087239
31,0.0897249,-3.15231,0.0479356,0.151856,1.5,0.000702676
32,0.0885868,-3.45148,0.0769234,0.0417224,1.5,0.00352582
33,0.0885868,-3.45148,0.129315,0.0776121,1.5,0.0214363
34,0.0873495,-3.60147,0.134443,-0.00724651,1.5,0.0247075
35,0.0862702,-3.75145,0.186343,-0.115821,1.5,0.0271826
36,0.0855219,-3.90143,0.178462,-0.191281,1.5,0.0332728
37,0.0851491,-4.0514,0.188325,-0.241199,1.5,0.0284466
38,0.0857282,-4.35135,0.153094,-0.359065,1.5,0.0152186
39,0.0865815,-4.50134,0.13353,-0.417211,1.5,-0.0240537
40,0.087149,-4.65047,0.228962,0.795887,1.5,-0.0300704
41,0.087149,-4.65047,0.260982,0.719792,1.5,-0.0353542
42,0.086356,-4.95052,0.335105,-0.248912,1.5,-0.0528176
43,0.086356,-4.95052,0.339164,-0.224335,1.5,0.0459408
44,0.0850998,-5.10055,0.267293,-0.539724,1.5,0.0447711
45,0.0826416,-5.39955,-0.0071602,-0.771301,1.5,0.0634294
46,0.0826416,-5.39955,-0.0071602,-0.771301,1.5,0.0801342
47,0.0824431,-5.5495,-0.0943336,-0.819921,1.5,0.0801342
48,0.0852832,-5.84935,-0.375435,-0.695974,1.5,0.188923
49,0.0852832,-5.84935,-0.320733,-0.867418,1.5,1.37679
50,0.0968368,-6.14726,-0.0431988,0.0465692,1.5,1.53944
51,0.114454,-6.29569,-0.0532243,0.626371,1.5,1.7259
52,0.114454,-6.29569,0.00101112,0.734864,1.5,2.16787
53,0.146053,-6.44128,0.135616,0.812948,1.5,2.21736
54,0.269028,-6.71187,0.376803,0.549012,1.5,2.2077
55,0.366927,-6.8243,0.449012,0.305992,1.5,2.21642
