idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
386,5.74309,-1.38674,-0.00991255,-0.0157126,0.493755,0.208151
388,5.78985,-1.37109,-0.00591979,-0.00820991,0.494786,0.173796
390,5.83637,-1.35455,-0.00919576,-0.0157819,0.496149,0.128363
392,5.88288,-1.33727,0.0036129,0.0250965,0.494727,0.175783
394,5.92893,-1.31931,0.000414341,0.0100774,0.495464,0.151204
396,5.97476,-1.30051,-0.0025948,-0.000802113,0.494344,0.188537
398,6.02011,-1.28096,-0.0065552,-0.0129882,0.49525,0.158341
400,6.06513,-1.26073,-0.000756736,0.003513,0.494285,0.190501
402,6.1099,-1.2398,-0.00455337,-0.009001,0.494759,0.174712
404,6.15424,-1.21802,-0.00828471,-0.0187846,0.495964,0.134519
406,6.19835,-1.19544,0.0036976,0.0159121,0.494886,0.170464
408,6.24195,-1.17221,0.000533502,0.00256531,0.495739,0.14203
410,6.28526,-1.14822,-0.00233571,-0.00654418,0.494674,0.177517
412,6.32812,-1.12351,0.00106524,0.00280368,0.495511,0.149623
414,6.37039,-1.09817,-0.00187701,-0.00694737,0.496716,0.109482
416,6.41257,-1.07211,-0.00419679,-0.0115903,0.495467,0.151109
418,6.45416,-1.04559,0.00579434,0.0224403,0.496029,0.132382
420,6.49548,-1.01832,0.00385919,0.0118063,0.495034,0.165543
422,6.53627,-0.99051,0.000995812,0.000163826,0.495773,0.140903
424,6.57657,-0.962125,0.00478452,0.014382,0.496773,0.107562
426,6.61674,-0.933063,0.00321684,0.0072531,0.495491,0.150302
428,6.65632,-0.903576,0.00632879,0.0190079,0.496041,0.131964
430,6.69556,-0.873383,0.0043603,0.00906467,0.495041,0.165302
432,6.73424,-0.842706,0.00149888,-0.00209556,0.495776,0.140814
434,6.77251,-0.811391,0.010065,0.0406056,0.496776,0.107464
436,6.81049,-0.779522,0.00947305,0.030373,0.495502,0.149927
438,6.84786,-0.74727,0.00694595,0.0153584,0.496054,0.131523
440,6.88483,-0.714343,0.0101038,0.0325447,0.495092,0.163585
442,6.92121,-0.680972,0.00795831,0.0182537,0.495829,0.139043
444,6.95716,-0.647001,0.00589301,0.00777062,0.496822,0.105917
446,6.99277,-0.612512,0.00983792,0.0258792,0.495588,0.147083
448,7.02774,-0.577679,0.0072539,0.0114329,0.496139,0.128705
450,7.0623,-0.542206,0.00516851,0.00249384,0.495215,0.159487
452,7.09624,-0.506339,0.00229621,-0.00771806,0.49594,0.135318
454,7.12973,-0.469912,0.0106591,0.0310161,0.496914,0.102876
456,7.16286,-0.432999,0.00984659,0.0220726,0.495703,0.143218
458,7.19534,-0.395808,0.011345,0.0361116,0.49624,0.125333
460,7.22737,-0.358021,0.0101747,0.0242516,0.497323,0.0892466
462,7.25907,-0.319801,0.00941453,0.0172933,0.496049,0.131697
464,7.2901,-0.281386,0.0113238,0.0302414,0.496499,0.116697
466,7.32069,-0.242386,0.0101504,0.0199456,0.495579,0.147352
468,7.35068,-0.203091,0.00801603,0.00833834,0.496233,0.125573
470,7.38019,-0.163328,0.0131197,0.0570304,0.497133,0.0955684
472,7.40933,-0.123149,0.0135481,0.0459697,0.495891,0.136969
474,7.43784,-0.0827757,0.0120117,0.0300946,0.496385,0.120509
476,7.46584,-0.0419155,0.0135747,0.0504974,0.49739,0.0869972
478,7.4935,-0.000659773,0.0139425,0.0409969,0.496106,0.129787
480,7.52033,0.0406598,0.0112727,0.0217225,0.496545,0.115182
482,7.54667,0.0826566,0.0130047,0.0410476,0.495922,0.135942
484,7.57243,0.124905,0.0118515,0.0275666,0.496591,0.113624
486,7.59771,0.167543,0.0106907,0.0176255,0.49743,0.0856594
488,7.62262,0.21052,0.0134773,0.0390139,0.496154,0.128212
490,7.64688,0.253588,0.011731,0.0237825,0.496591,0.11363
492,7.67062,0.297116,0.0104148,0.0142112,0.497608,0.0797178
494,7.69399,0.34097,0.00948703,0.00894986,0.496332,0.122252
496,7.71673,0.384866,0.013977,0.051985,0.496734,0.108876
